Age group by 5,Category,Color,Customer ID,Discount Applied,Frequency of Purchases,Gender,Item Purchased,Location,Payment Method,Promo Code Used,Season,Shipping Type,Size,Subscription Status,Age,Almont Money,Customers by Season,Money by Accessories,Money by Clothing,Money by Footwear,Money by Outerwear,Previous Purchases,Purchase Amount (USD),Review Rating
35-40,Clothing,Indigo,674,Yes,Bi-Weekly,Male,Shirt,Oklahoma,Venmo,Yes,Spring,Free Shipping,M,Yes,35,,,,,,,27,66,4.2
45-50,Accessories,Beige,675,Yes,Annually,Male,Jewelry,Washington,Bank Transfer,Yes,Winter,Store Pickup,XL,Yes,48,,,,,,,36,33,4.7
60-65,Accessories,Yellow,676,Yes,Annually,Male,Sunglasses,Arkansas,Cash,Yes,Spring,2-Day Shipping,M,Yes,64,,,,,,,9,86,2.6
25-30,Clothing,Peach,677,Yes,Bi-Weekly,Male,Pants,Connecticut,Venmo,Yes,Winter,2-Day Shipping,M,Yes,28,,,,,,,38,60,2.9
60-65,Clothing,Turquoise,678,Yes,Annually,Male,Socks,Washington,PayPal,Yes,Summer,Express,S,Yes,60,,,,,,,41,62,2.7
25-30,Clothing,Teal,679,Yes,Every 3 Months,Male,Blouse,Maine,Debit Card,Yes,Fall,Store Pickup,M,Yes,27,74,679,,74,,,25,74,3.3
55-60,Footwear,Turquoise,680,Yes,Fortnightly,Male,Sandals,Michigan,Venmo,Yes,Fall,Express,M,Yes,56,95,680,,,95,,37,95,3.4
55-60,Footwear,Magenta,681,Yes,Annually,Male,Sneakers,Tennessee,PayPal,Yes,Spring,Express,M,Yes,58,,,,,,,3,25,4.2
30-35,Clothing,Purple,682,Yes,Every 3 Months,Male,Shirt,Louisiana,Credit Card,Yes,Winter,2-Day Shipping,XL,Yes,30,,,,,,,24,59,3.8
20-25,Outerwear,Brown,683,Yes,Bi-Weekly,Male,Jacket,Missouri,Credit Card,Yes,Summer,Standard,M,Yes,23,,,,,,,49,29,4
30-35,Footwear,Violet,684,Yes,Monthly,Male,Sandals,Michigan,Bank Transfer,Yes,Winter,Free Shipping,S,Yes,33,,,,,,,3,36,2.7
60-65,Accessories,Yellow,685,Yes,Monthly,Male,Hat,Alabama,Debit Card,Yes,Summer,Express,M,Yes,63,,,,,,,42,82,4.7
70-75,Clothing,Magenta,686,Yes,Fortnightly,Male,Blouse,Massachusetts,Cash,Yes,Winter,Standard,XL,Yes,70,,,,,,,32,71,3.5
70-75,Clothing,Beige,687,Yes,Fortnightly,Male,Sweater,Indiana,Venmo,Yes,Fall,2-Day Shipping,L,Yes,70,35,687,,35,,,33,35,3
15-20,Accessories,Turquoise,688,Yes,Quarterly,Male,Gloves,West Virginia,Bank Transfer,Yes,Winter,Free Shipping,XL,Yes,19,,,,,,,46,38,3.3
25-30,Accessories,Peach,689,Yes,Monthly,Male,Scarf,Michigan,Venmo,Yes,Summer,Store Pickup,S,Yes,25,,,,,,,44,59,4.7
15-20,Clothing,Orange,690,Yes,Every 3 Months,Male,Hoodie,Pennsylvania,Credit Card,Yes,Summer,Express,M,Yes,19,,,,,,,35,91,4.7
25-30,Clothing,Red,691,Yes,Weekly,Male,Shorts,Alaska,Bank Transfer,Yes,Spring,Standard,XL,Yes,25,,,,,,,45,68,4.8
60-65,Accessories,Silver,692,Yes,Bi-Weekly,Male,Backpack,Massachusetts,PayPal,Yes,Summer,Standard,L,Yes,60,,,,,,,37,21,2.9
35-40,Accessories,Cyan,693,Yes,Every 3 Months,Male,Sunglasses,North Dakota,Debit Card,Yes,Spring,2-Day Shipping,M,Yes,35,,,,,,,40,95,4
45-50,Clothing,Turquoise,694,Yes,Every 3 Months,Male,Shorts,Vermont,Cash,Yes,Spring,Free Shipping,L,Yes,46,,,,,,,30,52,3.1
40-45,Clothing,Charcoal,695,Yes,Every 3 Months,Male,Dress,Kentucky,Venmo,Yes,Fall,2-Day Shipping,S,Yes,41,21,695,,21,,,38,21,3.5
30-35,Clothing,Peach,696,Yes,Every 3 Months,Male,Shorts,Nevada,Debit Card,Yes,Summer,Next Day Air,XL,Yes,30,,,,,,,15,67,3.7
40-45,Accessories,Green,697,Yes,Monthly,Male,Belt,Utah,Cash,Yes,Fall,Standard,L,Yes,44,42,697,42,,,,49,42,2.8
60-65,Accessories,Brown,698,Yes,Quarterly,Male,Scarf,North Dakota,Debit Card,Yes,Summer,Free Shipping,XL,Yes,61,,,,,,,40,63,4.6
55-60,Footwear,Yellow,699,Yes,Weekly,Male,Boots,Iowa,Debit Card,Yes,Winter,Standard,M,Yes,55,,,,,,,40,41,3.8
50-55,Accessories,Charcoal,700,Yes,Weekly,Male,Handbag,Connecticut,PayPal,Yes,Fall,2-Day Shipping,M,Yes,50,46,700,46,,,,5,46,2.6
55-60,Clothing,Olive,701,Yes,Monthly,Male,Pants,Wisconsin,PayPal,Yes,Winter,Standard,L,Yes,57,,,,,,,5,79,4.1
50-55,Footwear,Red,702,Yes,Every 3 Months,Male,Boots,Idaho,Debit Card,Yes,Fall,Next Day Air,L,Yes,51,90,702,,,90,,5,90,3.3
15-20,Clothing,White,703,Yes,Weekly,Male,Shirt,Montana,Cash,Yes,Winter,Store Pickup,M,Yes,18,,,,,,,1,71,3.4
60-65,Clothing,Pink,704,Yes,Weekly,Male,Dress,Connecticut,Venmo,Yes,Summer,Standard,L,Yes,63,,,,,,,21,87,3
30-35,Clothing,Black,705,Yes,Annually,Male,Hoodie,Idaho,PayPal,Yes,Spring,Express,S,Yes,34,,,,,,,18,66,3.2
25-30,Clothing,Indigo,706,Yes,Quarterly,Male,Pants,Arkansas,Cash,Yes,Summer,Free Shipping,XL,Yes,25,,,,,,,49,90,4.5
45-50,Clothing,Turquoise,707,Yes,Weekly,Male,Jeans,Iowa,Debit Card,Yes,Summer,Express,L,Yes,46,,,,,,,27,47,4.8
55-60,Clothing,Purple,708,Yes,Annually,Male,Shirt,Louisiana,Venmo,Yes,Spring,Next Day Air,L,Yes,59,,,,,,,21,38,3.7
35-40,Accessories,Beige,709,Yes,Fortnightly,Male,Backpack,Kentucky,Cash,Yes,Summer,Store Pickup,L,Yes,37,,,,,,,19,50,3.4
45-50,Outerwear,Charcoal,710,Yes,Monthly,Male,Jacket,Massachusetts,Debit Card,Yes,Summer,Standard,L,Yes,49,,,,,,,23,79,4.6
20-25,Accessories,Turquoise,711,Yes,Fortnightly,Male,Scarf,Virginia,PayPal,Yes,Spring,Standard,L,Yes,22,,,,,,,26,91,4.1
60-65,Footwear,Maroon,712,Yes,Bi-Weekly,Male,Boots,New Hampshire,Bank Transfer,Yes,Spring,2-Day Shipping,M,Yes,64,,,,,,,13,60,3.5
40-45,Clothing,Black,713,Yes,Quarterly,Male,Blouse,New Hampshire,Bank Transfer,Yes,Summer,Next Day Air,XL,Yes,42,,,,,,,36,81,3.8
35-40,Clothing,Lavender,714,Yes,Bi-Weekly,Male,Hoodie,Oregon,Bank Transfer,Yes,Summer,Express,M,Yes,37,,,,,,,39,90,2.6
25-30,Outerwear,Magenta,715,Yes,Fortnightly,Male,Jacket,South Dakota,Debit Card,Yes,Fall,Store Pickup,M,Yes,26,70,715,,,,70,40,70,4.4
30-35,Clothing,Green,716,Yes,Quarterly,Male,Jeans,Delaware,Debit Card,Yes,Spring,Express,L,Yes,33,,,,,,,37,63,2.6
30-35,Accessories,Olive,717,Yes,Bi-Weekly,Male,Jewelry,Missouri,Venmo,Yes,Spring,Express,M,Yes,30,,,,,,,9,29,3.6
20-25,Clothing,Green,718,Yes,Every 3 Months,Male,Socks,Alaska,Venmo,Yes,Spring,Express,L,Yes,21,,,,,,,7,90,4.2
20-25,Clothing,Peach,719,Yes,Annually,Male,Shirt,Florida,Bank Transfer,Yes,Summer,Standard,M,Yes,22,,,,,,,25,22,4.6
60-65,Clothing,Turquoise,720,Yes,Bi-Weekly,Male,Shorts,Mississippi,Venmo,Yes,Summer,Next Day Air,L,Yes,63,,,,,,,42,22,3.3
30-35,Accessories,Orange,721,Yes,Weekly,Male,Jewelry,New Mexico,Debit Card,Yes,Fall,Free Shipping,L,Yes,33,62,721,62,,,,19,62,3.4
40-45,Clothing,Silver,722,Yes,Every 3 Months,Male,Blouse,California,Debit Card,Yes,Summer,Next Day Air,L,Yes,43,,,,,,,41,57,4.4
25-30,Clothing,Blue,723,Yes,Bi-Weekly,Male,Sweater,Wyoming,Cash,Yes,Summer,Store Pickup,S,Yes,27,,,,,,,50,32,4.3
35-40,Accessories,Cyan,724,Yes,Monthly,Male,Jewelry,Missouri,PayPal,Yes,Fall,Express,L,Yes,35,53,724,53,,,,43,53,3.5
35-40,Clothing,Green,725,Yes,Every 3 Months,Male,T-shirt,New Hampshire,Venmo,Yes,Fall,Store Pickup,XL,Yes,37,79,725,,79,,,36,79,4.7
60-65,Accessories,Silver,726,Yes,Fortnightly,Male,Hat,Texas,Debit Card,Yes,Winter,Standard,L,Yes,61,,,,,,,33,61,3.1
30-35,Clothing,Yellow,727,Yes,Every 3 Months,Male,Shorts,North Dakota,Bank Transfer,Yes,Summer,Next Day Air,L,Yes,32,,,,,,,20,78,3.6
60-65,Clothing,Gray,728,Yes,Every 3 Months,Male,Sweater,Arkansas,Venmo,Yes,Winter,Next Day Air,S,Yes,62,,,,,,,37,97,4.8
25-30,Clothing,Pink,729,Yes,Every 3 Months,Male,Jeans,Nebraska,PayPal,Yes,Winter,Next Day Air,M,Yes,29,,,,,,,12,78,3.7
40-45,Accessories,Beige,730,Yes,Every 3 Months,Male,Sunglasses,Minnesota,PayPal,Yes,Summer,Express,L,Yes,41,,,,,,,46,56,3.2
45-50,Footwear,Indigo,731,Yes,Fortnightly,Male,Boots,Massachusetts,Venmo,Yes,Summer,Standard,M,Yes,48,,,,,,,28,25,3.9
40-45,Outerwear,Red,732,Yes,Fortnightly,Male,Coat,Arkansas,PayPal,Yes,Spring,Free Shipping,M,Yes,43,,,,,,,30,28,3.5
30-35,Clothing,Blue,733,Yes,Bi-Weekly,Male,Shirt,New Hampshire,Cash,Yes,Spring,Express,L,Yes,34,,,,,,,28,57,2.8
45-50,Clothing,Cyan,734,Yes,Bi-Weekly,Male,Dress,Rhode Island,Debit Card,Yes,Fall,2-Day Shipping,L,Yes,45,36,734,,36,,,20,36,2.7
65-70,Clothing,Violet,735,Yes,Every 3 Months,Male,Shirt,New Jersey,Bank Transfer,Yes,Winter,Express,S,Yes,65,,,,,,,39,69,3.1
60-65,Accessories,Orange,736,Yes,Bi-Weekly,Male,Sunglasses,Montana,Cash,Yes,Fall,2-Day Shipping,M,Yes,61,48,736,48,,,,48,48,3.6
15-20,Clothing,Maroon,737,Yes,Every 3 Months,Male,Dress,Colorado,Credit Card,Yes,Spring,2-Day Shipping,L,Yes,18,,,,,,,32,58,2.9
45-50,Accessories,Teal,738,Yes,Annually,Male,Sunglasses,Nebraska,PayPal,Yes,Spring,Store Pickup,M,Yes,47,,,,,,,28,24,3.6
55-60,Accessories,Orange,739,Yes,Quarterly,Male,Sunglasses,Minnesota,Venmo,Yes,Winter,2-Day Shipping,L,Yes,56,,,,,,,27,31,3.5
60-65,Clothing,Purple,740,Yes,Bi-Weekly,Male,Shorts,Minnesota,Venmo,Yes,Summer,Free Shipping,S,Yes,64,,,,,,,26,29,3.5
25-30,Clothing,Orange,741,Yes,Fortnightly,Male,Jeans,South Dakota,Credit Card,Yes,Summer,Next Day Air,M,Yes,26,,,,,,,22,69,2.8
20-25,Clothing,Yellow,742,Yes,Every 3 Months,Male,T-shirt,West Virginia,Bank Transfer,Yes,Summer,Free Shipping,XL,Yes,22,,,,,,,23,79,4.7
60-65,Clothing,Charcoal,743,Yes,Quarterly,Male,Pants,Nevada,Debit Card,Yes,Summer,Express,M,Yes,64,,,,,,,21,39,3.1
20-25,Accessories,Gray,744,Yes,Weekly,Male,Sunglasses,North Carolina,Cash,Yes,Fall,Free Shipping,L,Yes,21,84,744,84,,,,36,84,4.9
65-70,Footwear,Charcoal,745,Yes,Bi-Weekly,Male,Boots,Illinois,Debit Card,Yes,Spring,Next Day Air,S,Yes,67,,,,,,,42,66,4.1
45-50,Clothing,Orange,746,Yes,Monthly,Male,T-shirt,Michigan,Venmo,Yes,Fall,Standard,L,Yes,46,92,746,,92,,,4,92,4.7
40-45,Footwear,Red,747,Yes,Annually,Male,Sandals,Michigan,Credit Card,Yes,Winter,Free Shipping,M,Yes,40,,,,,,,47,45,2.5
50-55,Clothing,Gold,748,Yes,Weekly,Male,Shorts,Oklahoma,Bank Transfer,Yes,Spring,Next Day Air,L,Yes,51,,,,,,,13,74,4.4
35-40,Accessories,Brown,749,Yes,Quarterly,Male,Hat,South Dakota,Bank Transfer,Yes,Fall,Free Shipping,L,Yes,35,39,749,39,,,,8,39,3.9
55-60,Accessories,Olive,750,Yes,Quarterly,Male,Scarf,Oklahoma,Debit Card,Yes,Winter,Standard,M,Yes,56,,,,,,,11,71,3.7
25-30,Clothing,Violet,751,Yes,Annually,Male,T-shirt,Maryland,Venmo,Yes,Fall,Free Shipping,L,Yes,25,95,751,,95,,,5,95,3.4
65-70,Accessories,Indigo,752,Yes,Monthly,Male,Gloves,Ohio,Credit Card,Yes,Fall,Free Shipping,L,Yes,65,72,752,72,,,,1,72,4.8
35-40,Accessories,Yellow,753,Yes,Every 3 Months,Male,Scarf,Ohio,PayPal,Yes,Fall,2-Day Shipping,L,Yes,39,85,753,85,,,,17,85,4.2
45-50,Footwear,Teal,754,Yes,Quarterly,Male,Boots,Massachusetts,Venmo,Yes,Fall,Store Pickup,M,Yes,47,54,754,,,54,,27,54,3.4
35-40,Accessories,Pink,755,Yes,Quarterly,Male,Gloves,North Carolina,Debit Card,Yes,Spring,Store Pickup,L,Yes,36,,,,,,,3,41,2.9
65-70,Outerwear,Violet,756,Yes,Weekly,Male,Coat,Florida,PayPal,Yes,Spring,Free Shipping,M,Yes,66,,,,,,,22,24,3.3
60-65,Accessories,Orange,757,Yes,Fortnightly,Male,Belt,Montana,Cash,Yes,Summer,Standard,S,Yes,62,,,,,,,24,99,4.8
40-45,Clothing,Red,758,Yes,Quarterly,Male,Hoodie,Minnesota,Debit Card,Yes,Fall,Store Pickup,M,Yes,41,32,758,,32,,,18,32,3.8
65-70,Footwear,Peach,759,Yes,Every 3 Months,Male,Shoes,Massachusetts,Bank Transfer,Yes,Summer,2-Day Shipping,L,Yes,66,,,,,,,39,71,4.6
50-55,Clothing,Green,760,Yes,Fortnightly,Male,Dress,Rhode Island,Credit Card,Yes,Winter,Next Day Air,XL,Yes,51,,,,,,,25,49,2.6
30-35,Accessories,Violet,761,Yes,Annually,Male,Gloves,Minnesota,Cash,Yes,Fall,Free Shipping,XL,Yes,33,50,761,50,,,,6,50,3.4
55-60,Accessories,Yellow,762,Yes,Weekly,Male,Jewelry,Nevada,Bank Transfer,Yes,Fall,Express,L,Yes,57,91,762,91,,,,26,91,4.2
45-50,Accessories,Pink,763,Yes,Fortnightly,Male,Belt,New Mexico,Debit Card,Yes,Fall,Standard,M,Yes,45,46,763,46,,,,43,46,3.9
60-65,Clothing,Brown,764,Yes,Monthly,Male,Sweater,North Carolina,Credit Card,Yes,Spring,2-Day Shipping,M,Yes,61,,,,,,,6,50,2.9
55-60,Clothing,Silver,765,Yes,Quarterly,Male,Skirt,Virginia,Debit Card,Yes,Fall,Free Shipping,XL,Yes,55,39,765,,39,,,6,39,4.2
50-55,Footwear,Pink,766,Yes,Quarterly,Male,Sneakers,Alaska,Cash,Yes,Summer,Store Pickup,M,Yes,54,,,,,,,13,99,3
55-60,Accessories,Cyan,767,Yes,Monthly,Male,Gloves,Nevada,PayPal,Yes,Winter,Next Day Air,M,Yes,57,,,,,,,13,48,3.6
25-30,Outerwear,Brown,768,Yes,Annually,Male,Coat,Pennsylvania,Cash,Yes,Fall,Next Day Air,M,Yes,27,77,768,,,,77,11,77,2.5
60-65,Accessories,Red,769,Yes,Weekly,Male,Backpack,Illinois,Venmo,Yes,Spring,Express,XL,Yes,64,,,,,,,45,95,2.6
50-55,Clothing,Silver,770,Yes,Monthly,Male,Socks,Delaware,PayPal,Yes,Spring,Store Pickup,M,Yes,52,,,,,,,8,100,4.3
15-20,Footwear,Gray,771,Yes,Annually,Male,Sneakers,Vermont,Credit Card,Yes,Spring,Express,M,Yes,19,,,,,,,8,54,3.3
20-25,Clothing,Cyan,772,Yes,Fortnightly,Male,Sweater,Hawaii,Bank Transfer,Yes,Fall,Next Day Air,L,Yes,22,68,772,,68,,,34,68,2.6
15-20,Clothing,Teal,773,Yes,Bi-Weekly,Male,Jeans,Illinois,Debit Card,Yes,Fall,Free Shipping,L,Yes,18,22,773,,22,,,40,22,3.6
25-30,Accessories,Indigo,774,Yes,Bi-Weekly,Male,Hat,California,Debit Card,Yes,Winter,Express,L,Yes,29,,,,,,,14,84,2.6
40-45,Accessories,Yellow,775,Yes,Quarterly,Male,Hat,Nevada,Credit Card,Yes,Summer,Standard,M,Yes,42,,,,,,,11,46,3.5
45-50,Accessories,Gold,776,Yes,Monthly,Male,Handbag,Kentucky,PayPal,Yes,Winter,Store Pickup,S,Yes,49,,,,,,,8,53,3
45-50,Clothing,Maroon,777,Yes,Every 3 Months,Male,Shirt,Alabama,Venmo,Yes,Spring,Standard,M,Yes,49,,,,,,,8,60,5
55-60,Clothing,Silver,778,Yes,Weekly,Male,Socks,Wyoming,Venmo,Yes,Spring,Express,XL,Yes,55,,,,,,,37,32,2.5
25-30,Clothing,Yellow,779,Yes,Annually,Male,Socks,Massachusetts,Debit Card,Yes,Summer,Store Pickup,M,Yes,29,,,,,,,23,50,2.9
60-65,Clothing,Blue,780,Yes,Annually,Male,Dress,Utah,Cash,Yes,Spring,Express,M,Yes,60,,,,,,,38,94,4.6
30-35,Footwear,Turquoise,781,Yes,Quarterly,Male,Shoes,New York,Cash,Yes,Spring,Free Shipping,M,Yes,34,,,,,,,38,26,3.6
30-35,Accessories,Indigo,782,Yes,Fortnightly,Male,Scarf,Vermont,Credit Card,Yes,Winter,Store Pickup,L,Yes,30,,,,,,,12,44,3
25-30,Clothing,Green,783,Yes,Weekly,Male,Hoodie,Hawaii,Cash,Yes,Summer,Standard,M,Yes,28,,,,,,,15,57,4.5
60-65,Clothing,Purple,784,Yes,Fortnightly,Male,T-shirt,Louisiana,PayPal,Yes,Winter,Next Day Air,L,Yes,63,,,,,,,38,65,4.5
30-35,Clothing,Peach,785,Yes,Every 3 Months,Male,Jeans,Alabama,Bank Transfer,Yes,Winter,Store Pickup,M,Yes,31,,,,,,,41,72,3.2
45-50,Clothing,Purple,786,Yes,Fortnightly,Male,Shorts,Louisiana,PayPal,Yes,Spring,Next Day Air,S,Yes,46,,,,,,,37,62,4
70-75,Accessories,Teal,787,Yes,Every 3 Months,Male,Hat,Indiana,Bank Transfer,Yes,Winter,Express,S,Yes,70,,,,,,,16,21,4.8
50-55,Accessories,Green,788,Yes,Weekly,Male,Handbag,Michigan,Venmo,Yes,Spring,Free Shipping,S,Yes,53,,,,,,,25,85,3.7
50-55,Clothing,Yellow,789,Yes,Quarterly,Male,Pants,Rhode Island,Bank Transfer,Yes,Summer,Store Pickup,XL,Yes,50,,,,,,,18,51,3.8
30-35,Accessories,Purple,790,Yes,Bi-Weekly,Male,Handbag,Idaho,Credit Card,Yes,Fall,Standard,S,Yes,33,84,790,84,,,,4,84,2.7
20-25,Clothing,Indigo,791,Yes,Quarterly,Male,Sweater,Louisiana,Bank Transfer,Yes,Summer,Store Pickup,M,Yes,22,,,,,,,12,37,4.9
50-55,Accessories,Magenta,792,Yes,Fortnightly,Male,Scarf,North Carolina,PayPal,Yes,Summer,2-Day Shipping,S,Yes,50,,,,,,,35,44,3.1
30-35,Footwear,Violet,793,Yes,Weekly,Male,Sneakers,New Jersey,Venmo,Yes,Spring,Next Day Air,M,Yes,34,,,,,,,45,45,4.2
20-25,Clothing,Maroon,794,Yes,Monthly,Male,Pants,Alabama,Credit Card,Yes,Summer,Free Shipping,L,Yes,24,,,,,,,16,35,3.8
65-70,Accessories,Yellow,795,Yes,Fortnightly,Male,Backpack,Kentucky,Debit Card,Yes,Winter,Store Pickup,XL,Yes,69,,,,,,,10,50,4.2
35-40,Footwear,Beige,796,Yes,Annually,Male,Sandals,New York,Venmo,Yes,Summer,Store Pickup,M,Yes,39,,,,,,,34,26,4.6
40-45,Clothing,Black,797,Yes,Annually,Male,Socks,Arizona,Credit Card,Yes,Fall,2-Day Shipping,XL,Yes,42,78,797,,78,,,43,78,4
40-45,Outerwear,Violet,798,Yes,Weekly,Male,Coat,Maryland,Debit Card,Yes,Fall,2-Day Shipping,M,Yes,42,82,798,,,,82,38,82,4
25-30,Clothing,Violet,799,Yes,Every 3 Months,Male,Socks,Alaska,PayPal,Yes,Spring,2-Day Shipping,M,Yes,29,,,,,,,48,39,3.8
55-60,Accessories,Brown,800,Yes,Annually,Male,Belt,Nevada,PayPal,Yes,Summer,Free Shipping,L,Yes,55,,,,,,,31,55,3.3
30-35,Clothing,Gold,801,Yes,Every 3 Months,Male,Socks,Utah,Cash,Yes,Summer,Free Shipping,S,Yes,32,,,,,,,20,20,2.6
25-30,Accessories,Blue,802,Yes,Fortnightly,Male,Belt,New Mexico,Credit Card,Yes,Fall,Express,L,Yes,25,29,802,29,,,,12,29,4.9
35-40,Clothing,Teal,803,Yes,Weekly,Male,Pants,Delaware,Bank Transfer,Yes,Winter,Next Day Air,M,Yes,38,,,,,,,2,41,3.5
30-35,Clothing,Silver,804,Yes,Every 3 Months,Male,Shorts,Connecticut,Venmo,Yes,Winter,Express,L,Yes,32,,,,,,,30,38,2.8
40-45,Footwear,Maroon,805,Yes,Quarterly,Male,Boots,Mississippi,Venmo,Yes,Summer,Store Pickup,M,Yes,43,,,,,,,28,47,2.6
40-45,Clothing,White,806,Yes,Monthly,Male,Dress,Connecticut,Debit Card,Yes,Summer,Next Day Air,L,Yes,41,,,,,,,40,30,3.7
55-60,Clothing,Charcoal,807,Yes,Quarterly,Male,Jeans,Florida,PayPal,Yes,Summer,Standard,L,Yes,56,,,,,,,46,56,2.7
25-30,Clothing,Brown,808,Yes,Weekly,Male,T-shirt,New York,Credit Card,Yes,Winter,Express,S,Yes,27,,,,,,,15,89,3.3
45-50,Footwear,Lavender,809,Yes,Every 3 Months,Male,Shoes,Wisconsin,Cash,Yes,Fall,Next Day Air,L,Yes,46,96,809,,,96,,38,96,4.6
45-50,Footwear,Violet,810,Yes,Bi-Weekly,Male,Boots,South Carolina,PayPal,Yes,Fall,Next Day Air,M,Yes,48,81,810,,,81,,30,81,4.9
50-55,Accessories,Lavender,811,Yes,Bi-Weekly,Male,Scarf,South Dakota,Debit Card,Yes,Fall,Store Pickup,S,Yes,52,83,811,83,,,,32,83,4.9
15-20,Footwear,Green,812,Yes,Quarterly,Male,Sneakers,Illinois,Venmo,Yes,Winter,Free Shipping,M,Yes,18,,,,,,,36,35,2.7
60-65,Footwear,Olive,813,Yes,Weekly,Male,Boots,Alaska,Credit Card,Yes,Summer,Standard,M,Yes,64,,,,,,,32,56,3.2
50-55,Accessories,Olive,814,Yes,Annually,Male,Handbag,Montana,Debit Card,Yes,Summer,Store Pickup,S,Yes,54,,,,,,,14,45,2.9
30-35,Clothing,Pink,815,Yes,Monthly,Male,Shirt,Minnesota,PayPal,Yes,Winter,Express,M,Yes,31,,,,,,,8,62,3.8
30-35,Accessories,Teal,816,Yes,Bi-Weekly,Male,Hat,West Virginia,Venmo,Yes,Spring,Next Day Air,L,Yes,30,,,,,,,27,84,3
25-30,Clothing,Cyan,817,Yes,Monthly,Male,Sweater,Illinois,Debit Card,Yes,Summer,Store Pickup,L,Yes,26,,,,,,,24,24,3.9
25-30,Accessories,Gray,818,Yes,Fortnightly,Male,Handbag,Nevada,PayPal,Yes,Spring,Store Pickup,S,Yes,25,,,,,,,30,21,4.7
55-60,Clothing,Peach,819,Yes,Monthly,Male,Shirt,Idaho,Debit Card,Yes,Winter,Store Pickup,M,Yes,59,,,,,,,34,91,4.9
55-60,Accessories,Teal,820,Yes,Quarterly,Male,Sunglasses,Colorado,Debit Card,Yes,Winter,Next Day Air,S,Yes,55,,,,,,,28,36,4.8
55-60,Footwear,Turquoise,821,Yes,Monthly,Male,Sneakers,Louisiana,Debit Card,Yes,Spring,2-Day Shipping,M,Yes,56,,,,,,,27,39,2.5
60-65,Clothing,Green,822,Yes,Bi-Weekly,Male,Hoodie,Vermont,Credit Card,Yes,Spring,Standard,M,Yes,62,,,,,,,31,39,3.9
35-40,Clothing,Magenta,823,Yes,Annually,Male,Shirt,Mississippi,Bank Transfer,Yes,Winter,Standard,L,Yes,35,,,,,,,23,59,3.4
50-55,Accessories,Green,824,Yes,Quarterly,Male,Sunglasses,Georgia,Credit Card,Yes,Winter,Free Shipping,M,Yes,51,,,,,,,11,27,2.5
60-65,Clothing,White,825,Yes,Quarterly,Male,Blouse,Georgia,Cash,Yes,Spring,Store Pickup,M,Yes,61,,,,,,,48,94,3
25-30,Accessories,Brown,826,Yes,Monthly,Male,Belt,Nebraska,Cash,Yes,Fall,Next Day Air,XL,Yes,27,94,826,94,,,,17,94,3.6
50-55,Clothing,Purple,827,Yes,Weekly,Male,Dress,Massachusetts,PayPal,Yes,Winter,Standard,M,Yes,54,,,,,,,36,94,3.6
30-35,Footwear,Green,828,Yes,Fortnightly,Male,Shoes,Colorado,Bank Transfer,Yes,Fall,Free Shipping,S,Yes,31,51,828,,,51,,33,51,4.1
20-25,Clothing,Peach,829,Yes,Bi-Weekly,Male,Socks,Nevada,PayPal,Yes,Fall,2-Day Shipping,M,Yes,24,62,829,,62,,,27,62,3.7
40-45,Clothing,Silver,830,Yes,Fortnightly,Male,Socks,Idaho,Credit Card,Yes,Spring,2-Day Shipping,S,Yes,42,,,,,,,14,57,3.1
40-45,Clothing,Maroon,831,Yes,Annually,Male,Shorts,Wyoming,Credit Card,Yes,Fall,Express,M,Yes,41,76,831,,76,,,5,76,4.2
65-70,Accessories,Red,832,Yes,Every 3 Months,Male,Gloves,Washington,Cash,Yes,Summer,Express,M,Yes,66,,,,,,,47,63,4.3
55-60,Outerwear,Blue,833,Yes,Bi-Weekly,Male,Jacket,California,Cash,Yes,Fall,Express,L,Yes,58,80,833,,,,80,28,80,2.5
40-45,Accessories,Purple,834,Yes,Annually,Male,Handbag,Oklahoma,Credit Card,Yes,Fall,Standard,M,Yes,43,68,834,68,,,,11,68,3.5
50-55,Accessories,Indigo,835,Yes,Weekly,Male,Backpack,Nevada,Credit Card,Yes,Summer,Free Shipping,M,Yes,52,,,,,,,18,89,3.1
35-40,Footwear,Indigo,836,Yes,Weekly,Male,Boots,Maryland,Debit Card,Yes,Summer,Next Day Air,L,Yes,35,,,,,,,21,26,2.5
20-25,Accessories,Violet,837,Yes,Bi-Weekly,Male,Gloves,West Virginia,Cash,Yes,Winter,Store Pickup,L,Yes,23,,,,,,,22,90,3.9
25-30,Clothing,Brown,838,Yes,Every 3 Months,Male,Hoodie,Illinois,Cash,Yes,Spring,Express,L,Yes,25,,,,,,,33,28,4.9
30-35,Outerwear,Gray,839,Yes,Annually,Male,Coat,Kentucky,Credit Card,Yes,Spring,Express,M,Yes,33,,,,,,,49,29,4.3
45-50,Clothing,Teal,840,Yes,Every 3 Months,Male,Shirt,Illinois,Debit Card,Yes,Spring,Free Shipping,L,Yes,48,,,,,,,10,31,2.6
40-45,Clothing,Teal,841,Yes,Weekly,Male,Shirt,Alabama,PayPal,Yes,Summer,2-Day Shipping,L,Yes,42,,,,,,,18,24,4.2
55-60,Clothing,Beige,842,Yes,Fortnightly,Male,Sweater,Texas,PayPal,Yes,Summer,Store Pickup,M,Yes,55,,,,,,,28,88,2.6
55-60,Clothing,Violet,843,Yes,Weekly,Male,Shirt,Missouri,PayPal,Yes,Spring,Express,M,Yes,59,,,,,,,25,87,3.6
